M-ce;10km;22km;33km;Cz. netto;Cz. brutto;min/km;km/h
130;01:25:25;03:02:43;04:45:02;06:23:56.500;06:24:22.100;08:31;7
131;01:27:40;03:07:51;04:51:46;06:24:18.350;06:24:31.400;08:32;7
132;01:30:10;03:09:58;04:50:55;06:25:36.800;06:26:01.900;08:34;7
133;01:14:29;02:43:43;04:31:04;06:25:50.850;06:26:01.950;08:34;7
134;01:19:30;03:00:29;04:49:34;06:25:54.500;06:26:05.550;08:34;7
135;01:21:26;03:02:39;05:00:25;06:27:04.600;06:27:10.300;08:36;7
136;01:23:32;02:58:26;04:44:13;06:26:57.250;06:27:25.300;08:35;7
137;01:23:32;02:58:26;04:43:34;06:27:11.000;06:27:39.150;08:36;7
138;01:34:50;03:14:43;04:54:41;06:27:16.700;06:27:43.950;08:36;7
139;01:31:37;03:10:41;04:53:18;06:28:39.650;06:28:54.600;08:38;6.9
141;01:24:58;02:56:34;04:46:08;06:29:21.000;06:29:58.650;08:39;6.9
142;01:24:59;03:11:17;04:56:54;06:29:21.350;06:29:58.650;08:39;6.9
143;01:28:03;03:09:30;04:53:14;06:29:57.400;06:30:12.600;08:39;6.9
144;01:23:32;03:01:44;04:53:40;06:30:07.000;06:30:21.600;08:40;6.9
145;01:25:16;02:58:19;04:50:41;06:31:04.800;06:31:11.450;08:41;6.9
147;01:21:33;02:54:36;04:42:39;06:31:53.450;06:32:24.600;08:42;6.9
148;01:22:03;03:03:37;04:53:33;06:32:23.050;06:32:26.400;08:43;6.9
149;01:24:16;03:07:38;04:51:47;06:34:03.000;06:34:11.900;08:45;6.9
150;01:28:18;03:05:38;04:55:10;06:34:33.900;06:35:00.600;08:46;6.8
151;01:30:20;03:07:56;04:59:59;06:35:30.350;06:35:48.300;08:47;6.8
152;01:31:30;03:10:30;04:55:21;06:37:20.550;06:37:44.150;08:49;6.8
153;01:31:03;03:15:48;05:00:40;06:37:31.000;06:37:49.450;08:50;6.8
154;01:31:04;03:15:49;05:00:42;06:37:32.150;06:37:49.800;08:50;6.8
155;01:29:02;03:09:22;04:55:03;06:37:47.600;06:38:07.600;08:50;6.8
