M-ce;12km;26km;37.8km;Cz. netto;Cz. brutto;min/km;km/h;;;;;;;;;
118;01:03:57;02:54:36;04:38:23;06:46:17.550;06:46:24.800;07:48;7.7;;;;;;;;;
119;01:07:36;02:59:58;04:40:09;06:47:32.650;06:47:51.800;07:50;7.7;;;;;;;;;
120;01:05:47;02:55:08;04:42:26;06:47:45.050;06:47:53.000;07:50;7.7;;;;;;;;;
121;01:09:43;03:03:30;04:48:26;06:47:25.450;06:47:53.400;07:50;7.7;;;;;;;;;
122;01:05:57;02:54:48;04:42:52;06:47:24.850;06:47:54.150;07:50;7.7;;;;;;;;;
123;01:07:51;02:57:50;04:43:16;06:47:52.600;06:48:05.000;07:50;7.6;;;;;;;;;
124;01:09:50;02:57:43;04:46:38;06:48:02.000;06:48:29.200;07:50;7.6;;;;;;;;;
125;01:08:32;02:50:08;04:42:30;06:48:10.250;06:48:29.550;07:50;7.6;;;;;;;;;
126;01:10:36;03:03:30;04:49:37;06:48:06.300;06:48:31.300;07:50;7.6;;;;;;;;;
127;01:12:39;03:04:26;04:44:01;06:48:06.150;06:48:38.550;07:50;7.6;;;;;;;;;
128;01:08:48;02:58:49;04:47:44;06:48:18.300;06:48:56.550;07:51;7.6;;;;;;;;;
129;01:05:46;02:55:07;04:46:01;06:49:02.950;06:49:11.050;07:51;7.6;;;;;;;;;
130;01:10:57;03:01:52;04:48:21;06:49:17.750;06:49:50.750;07:52;7.6;;;;;;;;;
131;01:11:43;03:04:28;04:50:00;06:49:20.200;06:49:51.050;07:52;7.6;;;;;;;;;
132;01:11:03;03:02:34;04:45:38;06:49:34.200;06:49:56.600;07:52;7.6;;;;;;;;;
133;01:09:16;02:57:52;04:47:46;06:50:11.300;06:50:18.450;07:53;7.6;;;;;;;;;
134;01:03:39;02:54:11;04:40:08;06:51:05.300;06:51:07.900;07:54;7.6;;;;;;;;;
135;01:04:57;02:55:20;04:41:47;06:51:12.700;06:51:19.800;07:54;7.6;;;;;;;;;
136;01:07:17;02:58:05;04:54:10;06:51:31.600;06:51:45.600;07:54;7.6;;;;;;;;;
137;01:10:13;03:03:29;04:50:26;06:51:59.300;06:52:27.450;07:55;7.6;;;;;;;;;
138;01:12:55;03:02:39;04:48:11;06:52:30.900;06:52:54.100;07:55;7.6;;;;;;;;;
139;01:06:56;02:50:39;04:48:41;06:52:46.800;06:53:06.550;07:56;7.6;;;;;;;;;
140;01:10:11;02:56:18;04:39:46;06:53:46.250;06:53:59.850;07:57;7.5;;;;;;;;;
141;01:07:45;02:52:39;04:41:34;06:53:34.850;06:53:59.850;07:57;7.5;;;;;;;;;
142;01:09:17;02:55:52;04:45:51;06:55:30.600;06:55:33.550;07:59;7.5;;;;;;;;;
143;01:01:21;02:49:07;04:38:26;06:55:41.650;06:55:47.650;07:59;7.5;;;;;;;;;
144;01:08:07;02:51:14;04:36:37;06:56:16.650;06:56:18.950;08:00;7.5;;;;;;;;;
145;01:08:40;03:04:43;04:50:11;06:56:23.000;06:56:24.050;08:00;7.5;;;;;;;;;
146;01:08:59;03:04:50;04:50:10;06:56:24.400;06:56:26.100;08:00;7.5;;;;;;;;;
147;01:08:53;03:03:53;04:50:11;06:56:25.350;06:56:27.150;08:00;7.5;;;;;;;;;
148;01:07:37;02:57:45;04:48:04;06:56:42.950;06:56:58.250;08:00;7.5;;;;;;;;;
