Id;5km;10km;15km;19.9km;Cz. netto;min/km;km/h;;;;;;;;
142;00:21:12;00:43:07;01:05:47;01:29:47;01:36:14.350;04:33;13.2;;;;;;;;
143;00:21:13;00:43:43;01:06:13;01:29:41;01:36:06.450;04:33;13.2;;;;;;;;
144;00:22:03;00:44:22;01:06:23;01:29:37;01:35:49.300;04:32;13.2;;;;;;;;
145;00:21:29;00:43:35;01:06:03;01:29:49;01:36:07.950;04:33;13.2;;;;;;;;
146;00:21:42;00:43:25;01:05:30;01:29:48;01:36:28.300;04:34;13.1;;;;;;;;
147;00:22:19;00:44:23;01:06:58;01:30:33;01:36:29.450;04:34;13.1;;;;;;;;
148;00:22:11;00:44:55;01:07:15;01:30:11;01:36:22.750;04:34;13.1;;;;;;;;
149;00:21:27;00:43:42;01:06:24;01:30:12;01:36:37.150;04:34;13.1;;;;;;;;
150;00:21:18;00:43:03;01:06:32;01:30:20;01:36:45.200;04:35;13.1;;;;;;;;
151;00:22:50;00:45:25;01:07:56;01:30:35;01:36:32.500;04:34;13.1;;;;;;;;
152;00:20:12;00:41:02;01:03:33;01:29:39;01:36:10.100;04:33;13.2;;;;;;;;
154;00:23:23;00:46:39;01:09:58;01:31:31;01:36:47.950;04:35;13.1;;;;;;;;
155;00:24:12;00:46:36;01:08:27;01:30:51;01:36:44.800;04:35;13.1;;;;;;;;
156;00:22:28;00:45:09;01:07:43;01:30:58;01:37:04.150;04:36;13;;;;;;;;
157;00:23:11;00:45:32;01:07:51;01:30:53;01:37:00.950;04:35;13;;;;;;;;
158;00:22:44;00:45:37;01:08:07;01:30:50;01:36:58.200;04:35;13.1;;;;;;;;
159;00:22:40;00:45:46;01:08:25;01:30:47;01:36:36.650;04:34;13.1;;;;;;;;
160;00:22:45;00:45:21;01:07:39;01:30:25;01:36:35.600;04:34;13.1;;;;;;;;
161;00:21:21;00:43:41;01:06:36;01:30:52;01:37:05.150;04:36;13;;;;;;;;
162;00:22:33;00:44:47;01:07:13;01:30:51;01:37:09.900;04:36;13;;;;;;;;
163;00:21:59;00:44:19;01:06:28;01:30:47;01:37:39.150;04:37;13;;;;;;;;
164;00:22:16;00:44:46;01:07:24;01:31:09;01:37:33.900;04:37;13;;;;;;;;
165;00:23:03;00:46:19;01:09:23;01:31:36;01:37:09.550;04:36;13;;;;;;;;
166;00:22:19;00:45:06;01:08:07;01:31:31;01:37:33.350;04:37;13;;;;;;;;
167;00:21:54;00:44:42;01:07:28;01:31:22;01:37:47.300;04:38;12.9;;;;;;;;
168;00:21:08;00:43:33;01:06:38;01:31:11;01:37:53.500;04:38;12.9;;;;;;;;
169;00:22:25;00:45:05;01:07:41;01:31:29;01:37:49.650;04:38;12.9;;;;;;;;
171;00:22:40;00:45:03;01:07:37;01:31:04;01:37:20.500;04:36;13;;;;;;;;
172;00:22:37;00:45:05;01:07:46;01:31:21;01:37:38.350;04:37;13;;;;;;;;
173;00:23:10;00:46:13;01:08:35;01:31:42;01:38:06.500;04:38;12.9;;;;;;;;
174;00:21:20;00:43:54;01:07:14;01:31:50;01:38:19.200;04:39;12.9;;;;;;;;
175;00:23:15;00:46:08;01:08:49;01:32:03;01:38:09.650;04:39;12.9;;;;;;;;
176;00:22:57;00:45:54;01:08:47;01:32:23;01:38:25.300;04:39;12.9;;;;;;;;
177;00:22:35;00:45:46;01:08:47;01:32:17;01:38:17.550;04:39;12.9;;;;;;;;
178;00:21:07;00:42:45;01:05:25;01:31:07;01:38:26.800;04:39;12.9;;;;;;;;
179;00:21:59;00:44:45;01:07:45;01:31:24;01:37:44.450;04:37;13;;;;;;;;
180;00:22:51;00:45:55;01:08:41;01:31:47;01:38:08.500;04:39;12.9;;;;;;;;
181;00:21:52;00:45:03;01:07:58;01:32:01;01:38:21.050;04:39;12.9;;;;;;;;
182;00:22:39;00:45:22;01:07:54;01:31:11;01:37:05.100;04:36;13;;;;;;;;
183;00:21:43;00:44:55;01:08:12;01:32:22;01:38:38.400;04:40;12.8;;;;;;;;
